dvacátnice	vicenarian;twentysomething	Twen	twintiger		veintitanto	vingtenaire	dvacátnice;dvacátník;dvacátnice;dvacátník	dvacátnice;dvacátník	dvacátnice;dvacátník		dvacátnice;dvacátník	dvacátnice;dvacátník
bibliografka				библиограф						bibliografka;bibliograf		
administrátorka						administrateur						administrátor;vedoucí pracovník;řídící pracovník;šéf;zodpovědný pracovník;správkyně;vedoucí;direktor;ředitel;představený;správce;manažer;správní úředník;správce systému;exekutiva;administrátorka;výkonný ředitel;sprá!vce;výkonná moc;úřadující ředitel
licoměrnice				лицемерка;притворщица						licoměrnice;licoměrnice		
husopaska	goosegirl			гусятница;пастушка			husopaska			pekáč;husopaska;husařka;pastýř;pasačka;pastýřka;husopaska		
uličnice	nipper;hoyden;gamine;tomboy	Wildfang;Göre;Range;Gassenmädchen		шумливая;проказница;девчонка-сорванец	marimacha;marimacho;machorra	garçon manqué;gamine	uličnice;rošťák;kluk;uličník;mrně;klepeto;dítě;mládenec;uličnice;divoška;uličnice;uličnický;uličnice;divoška;drsňák	uličnice;divoška;uličnice;fracek;galon;spratek;uličnice;darebák;divoška;uličnice		uličnice;divoška;koketa;uličnice;nezbednice;uličnice;divoška	uličnice;divoška;uličnice;divoška;uličnice;divoška	uličnice;divoška;uličnice;holka;dívka;děvče;dítě;cácorka
dobrovolnice						volontaire						dobrovolnice;vědomý;dobrovolný;ochotník;volní;dobrovolník;samovolný;záměrný;ochotný;nežádaný;nevyžádaný;spontánní;týkající se vůle;úmyslný
předčitatelka				чтица						předčitatelka		
finalistka	finalist	Endrundenteilnehmer;Finalist;Finalistin;Endrundenteilnehmerin	finalist	финалист	finalista	finaliste	finalistka;finalista	finalistka;finalista;finalistka;finalista;finalistka;finalista;finalistka;finalista	finalistka;finalista	finalistka;finalista	finalistka;finalista	finalistka;finalista
obdivovatelka	groupie;fan	Groupie;begeisterter Fan eines Sängers oder einer Band;Fan		почитательница;поклонница	fan;admirador	groupie;fan;admiratrice	obdivovatelka;ctitel;fanynka;milovník;přívrženec;foukat;dmychadlo;fanynka;ovanout;ovívati;protagonista;ovívat;obdivovatel;větrník;příznivec;milovník;obhájce;fanatik;větrák;příliš horlivý;bíti;rozdmýchati;vějíř;fanda;ventilátor;nadšenec;stoupenec;vrtule;fanoušek;obdivovatelka;zastánce;nadšený obdivovatel	obdivovatelka;fanynka;obdivovatelka;fanynka;příznivec;milovník;fanatik;nadšenec;ctitel;fanoušek;feťák;obdivovatelka;narkoman;freak;fanda;fanynka		ctitelka;obdivovatelka;ctitelka;obdivovatelka	příznivec;milovník;obdivovatelka;fanoušek;fanynka;obdivovatel;ctitel;fanynka;obdivovatelka	obdivovatelka;fanynka;příznivec;milovník;obdivovatelka;fanoušek;fanynka;příznivec;ctitelka;milovník;obdivovatelka;fanoušek;obdivovatel
