hadička	hose	Schlauch	slang	чулка;рейтузы;трубка;чулки;шланг	manguera	tuyau d’arrosage;tuyau	punčochy;hadička;hadice;odpravit	punčochy;trubky;kanál;duše pneumatiky;trubice;potrubí;hadička;hadice	punčochy;hadička;hadice;had;hadi	hadička;hadice;punčochy;kamaše;pletené kalhoty;jezdecké kalhoty;punčochy;hadička;hadice;pípnutí;fajfka;sluchátko;dymka;fajka;trubka;píšťala;trubice;trubička;roura;hadička;rolička;dýmka;hadička;hadice;punčochy;ohebná trubka;hadička;hadice;punčochy	hadička;hadice;punčochy	hadička;hadice;punčochy;lulka;potrubní rozvody;sopouch;síť trubní;trubka;punčochy;trubkoví;kanál;trubky;vodovod;potrubí;průplav;žlab;hadička;hadice;roura
rybníček	pond;lake;open water;pool	See;Weiher	vijver;waterplas;kolk	стал;бассейн;ставь;пруд;предстал;ставок	estanque;charca;laguna	étang	jezírko;rybník;tůň;Atlantský oceán;přehrada;Velká louže;jezero;laguna v útesu korálovém;laguna;rybníček;rybník;pleso;rybníček;jezero;rybník;volná voda;rybníček;plovárna;skupina;rezerva;koupaliště;rybníček;fond;kaluž;plavecký bazén;konsorcium;louže;zásoba;nádrž;rybník;krytá plovárna;tůně;bazén;usazovat se;syndikát;jezírko;tůň;tôňa;být podílníkem;dát dohromady	mořský;pleso;rybník;volná voda;jezero;moře;oceán;rybníček;přímořský;námořní;rybník;rybníček	rybník;tůň;rybníček;přehrada;rybník;rybníček;jezero;svah;rybník;sráz;propast;bezedná propast;záliv;rokle;rybníček	rybník;rybníček;pánev;nádrž;kotlina;miska;rybník;tůň;mísa;plavecký bazén;povodí;koupaliště;bazén;umývadlo;rybníček;revír;rybník;rybníček;rybník;tůň;rybníček;přehrada;rybník;rybníček;rybník;rybníček	rybník;tůň;přehrada;jezero;pleso;rybníček;rybník;tůň;kaluž;louže;rašeliniště;rybníček;rybník;pleso;laguna v útesu korálovém;laguna;rybníček	rybník;rybníček;přehrada
motorek		Kleinmotor		микродвигатель;моторчик;движок				motorek		motorek;motorek;kurzor;jezdec;běhoun;motorek		
skřínka				ларчик;ларец						ozdobná krabička;skřínka;truhlička;truhlice;krabice;skřínka		
mladíček				паренёк						mladíček		
plotýnka	hotplate	Heizplatte;Herdplatte;Kochplatte		конфорка;мармит	calientaplatos		plotýnka	plotýnka;plotýnka;plotýnka		plotýnka;hořák;kahan;plotýnka;ohřívací stůl	plotýnka	
krasotinka		Schöne		красотка				krasavice;rostlina přitahující kočky;krasotinka;krása;kráska;druh rostliny;šanta kočičí		krasavice;fajnovka;kráska;krasotinka		
srneček	fawn		hertenkalf	олененок;оленя			kolouch-animal;vrtět ohonem;lísat se;srneček;srnče;světle žlutohnědý;srnec;světle žlutohnědá barva;podlézat;kolouch;plazit se		světle žlutohnědý;kolouch-animal;srneček	světle žlutohnědý;kolouch-animal;srneček;světle žlutohnědý;kolouch-animal;srneček		
hnízdečko	earth;nest;bird’s nest	Nest	nest	гнёздышко	nido	nid;chez-soi;chez-moi	hlêna;brloh;pevnina;svět;hnízdečko;nora;prsť;uzemnit;pochovat;uzemnění;zemní;půda;makrokosmos;zemina;louka;zemský;parcela;pole;Země;souše;hlína;pozemek;vesmír;zeměkoule;doupě;zem;země;hřiště;vnořit;jeskyně;útočiště;hnízdo;hnízdit;hnízdečko;udělat si hnízdo;hnízdečko	díra;jeskyně;útočiště;hnízdo;hnízdečko;domov	jeskyně;útočiště;hnízdo;hnízdit;hnízdečko;doupě;brloh;pelech	hnízdečko	hnízdečko;jeskyně;hnízdo	hnízdečko;hnízdo;hnízdečko;dům;barabizna;chata;domov;hnízdečko
knížečka				книжечка						knížka;knížečka;brožura;prospekt		
perlička	pearl;guinea fowl;bead	Helmperlhuhn;Perlhuhn;Perle	poelepetaat;parelhoen	бусина;жемчужина;цеса́рка;жемчужинка;цесарка	pintada;perla;gallina de guinea;gallina de Guinea;guinea	guinée;pintade	kapka;lovit perly;perleť;stříbro;perlový;perla;perlička;samice perličky;perličkovití;perlička domácí;perlička;kapka;kulička;krůpěj;zaválcovat;perlička;korálek;lem;kapitálek;obruba	perlička;perlička kropenatá;perlička domácí;stará britská mince;Guinea-state;perlička;samice perličky;korálek;rosa;perla;perlička	stará britská mince;Guinea-state;perlička;stará britská mince;Guinea-state;perlička	korálek;krůpěj;perlička;perla;perlička;skvost;klenot;perlička;perlička;stará britská mince;Guinea-state;perlička	kranas obecný;perlička;perla;perlička;perlička domácí;perlička;stará britská mince;Guinea-state;perlička;banán;stará britská mince;Guinea-state;perlička	stará britská mince;Guinea-state;perlička;perlička domácí;stará britská mince;Guinea-state;perlička;drůbež;samice perličky
uzlíček		Knötchen						uzlíček;uzlík				
očičko				глазок						očko;ouško;průvlak;knoflíková dírka;očičko;okénko kukátko		
dámička	demimondaine	Dämchen;Dämlein;Lebedame		дама полусвета		hétaïre	kurtizána;žena volných mravů;dámička;dáma z polosvěta	dámička;dámička;žena volných mravů;dámička;dáma z polosvěta		žena volných mravů;dámička;dáma z polosvěta		žena volných mravů;dámička;dáma z polosvěta
krychlička				кубик						kubík;kostka;krychle;kubický centimetr;krychlička		
banánek	plug	Bananenstecker					uzavřít;špunt;uzávěr;ucpat;zacpat;korková zátka;švindl;klamavá reklama;praštit;banánek;zásuvka;zástrčka;hmoždinka;ucpávka;udeřit;utěsnit;reklama;uhodit;přípojka;jack;zátka	banánek;banánkový kolík				
chlebíček	baked goods;bread;roll;staff of life;livelihood;food;bread roll;pav;sandwich;loaf	Brot;Sandwich;Schnitte;Brötchen	brood;mik;broodje;sandwich	бутерброд;buterbrod;хлебушко;булка;хлебец	pan;bocadillo;sándwich;panecillo;sandwich	pain;flouse;bread;petit pain;sandwich;galette	chleba;chlebíček;chléb;homole;panýrovat;chléb;chlib;pecen;prachy;chleba;bochník;živobytí;peníze;měna;obalovat;peněz;žitný chléb;těstoviny;chlebíček;vyválet;válec;stočit;šiška;závin;produkovat;kotouč;navinout;svinout;válet se;kutálet;přêkotólet;přikutálet;cívka;valit;válení;veka;válet;srolovat;svitek;kotoul;chlebíček;soupis;povalovat se;seznam;motat;koulet;houska;váleti;válcovat;vinout;valení;žemle;kutálet se;rohlík;špulka;kotólet;kulit;koulet se;svinovat;koprdelec;natáčet;role;valit se;stočit se;chleba;chlebíček;chléb;chléb;chleba;obživa;živobytí;žêvobêti;bydlo;výživa;chlebíček;jí;hašé;potraviny;s požêvó;sklíčidlo;krmení;strava;přísun;podavač;chlebíček;poživatina;jídlo;předpisy;žere;chleba;požêva;potrava;potravina;živina;obilní drť;chléb;vyživování;potrava zvířat;proviant;ponrava;výživa;vynikající jídla;píce;pokrm;chlebíček;žemle;houska;chleba;chlebíček;chléb;chlebíček;krajíc;sendvič;obložený chlebíček;homole;chléb;pecen;chleba;bochník;zahálet;chlebíček;povalovat se;potloukat se	homole;chléb;pecen;chleba;večeře;bochník;živobytí;žitný chléb;chlebíček;chlebíček;obložený chlebíček;sendvič;steak;biftek;krajíc;stejk;chlebíček;bochánek;žemle;brioška;houska;chlebíček;rohlík;sladká žemle	homole;chléb;pecen;chleba;bochník;žitný chléb;chlebíček;homole;chléb;pecen;chleba;bochník;živobytí;chlebíček;povalovat se;bochánek;žemle;sendvič;brioška;houska;chlebíček;sladká žemle;chlebíček;obložený chlebíček;sendvič	chlebíček;krajíc;sendvič;obložený chlebíček;chlebíček;chlebíček;homole;chléb;žemle;pecen;houska;bochník;šiška pšeničného chleba;chlebíček;chlebíček	homole;chléb;pecen;chleba;bochník;žitný chléb;chlebíček;sendvič;houska;obložený chlebíček;krajíc;chlebíček;chlebíček;obložený chlebíček;sendvič;bochánek;žemle;brioška;houska;slané pečivo;chlebíček;sladká žemle;chlebíček;krajíc;sendvič;obložený chlebíček	homole;chléb;žemle;pecen;chleba;bochník;žitný chléb;chlebíček;chleba;chlebíček;chléb;chleba;chlebíček;chléb;chlebíček;žemle;vdolek;houska;chlebíček;obložený chlebíček;sendvič;chleba;placka;chlebíček;chléb
chaloupka	cabin;log cabin;cottage;little cottage;log-cabin	Blockhütte;Hütte;Blockhaus		до́мик;хижина;хи́жина;избушка	barraca;cabaña	cabane	hradlo;bouda;budka;chatka;kiosek;kabina;salaš;srub;chatrč;chata;kajuta;kóje;chalupa;bydlet v chatrči;chýše;chaloupka;barák;srub;chaloupka;bouda;horská bouda;chata;chalupa;chaloupka;domek;chaloupka;chaloupka	salaš;chatrč;chata;srub;chýše;chaloupka;sklárna;bouda;budka;kolna;salaš;huť;kůlna;bungalov;domek;chatrč;barabizna;krám;chata;chalupa;srub;chýše;chaloupka;barák;srub;chaloupka		salaš;chatrč;chata;srub;chýše;chaloupka;bouda;budka;kolna;bungalov;domek;chatrč;barabizna;chata;chalupa;chýše;chaloupka;barák;salaš;kůlna;chatrč;chata;srub;chýše;chaloupka;chýška;bouda;budka;kolna;chatrč;barabizna;chata;chýše;chaloupka;barák	bouda;kasárny;salaš;barákový;huť;chatrč;chata;srub;chýše;chaloupka;barák;bouda;budka;kolna;salaš;kůlna;bungalov;domek;chatrč;barabizna;chata;chalupa;srub;chýše;chaloupka;barák	hladomorna;bouda;penalta;desítka;salaš;zahradní dům;dům na stromě;chatrč;chata;věznice;pokutový kop;žalář;vězení;basa;chalupa;srub;chýše;chaloupka
bochníček	cob	männlicher Schwan			coronta	cygne	bochníček;labuť	bochníček			bochníček	labuť-animal;labuť velká;bochníček;labuť
partyzánka				партизанка						partyzánka		
batolátko		Baby						batolátko;dět’átko;batolata;značka dítěte;brouček;nemluvně;novorozenci;děťátko;baby;dítě;kojenec;miminko				
děvčátko	little girl	Mädchen;Kleine		девочка	nena	fillette	děvčátko;holčička;dívka;děvče;slečna;holka;dívenka	mladá žena;dívky;panna;sluha;děva;děvče;dívka;přítelkyně;slípka zelenonohá;dítě;služebná;děvčátko;slečna;holka;děvenka;děvčata;holčička;cácorka;paní;mladá dívka;služka;děvčátko;chlapče;chlapec;jinoch;dívenka;hoch		děvčátko;holčička;cácorka;dívka;děvče;slečna;paní;dívenka;holka;služebná;mladá dívka;dítě;služka	děvčátko;dívka;děvče;holka	děvčátko;holčička;cácorka;dívka;děvče;holka;děvenka;dítě
zámeček	mansion	Schlößchen	herenhuis		palacete		rezidence;zámeček;budova;zámek;panské sídlo;panský dům;sídlo;hrad	zámeček	zámeček;budova;zámek;panské sídlo;panský dům;sídlo		zámeček	
palouček				лужок;лужайка;полянка						palouček;paseka;trávník;louka;palouček;palouk;loučka;clearing;pažit;klíring;mýcení;místo v lese bez stromů;mýtina;palouček		
vizitka	calling card;card;visiting card;key card;Business Card;business card	Karte;Visitenkarte	Visitekaartje;visitekaartje	визитка;визи́тная ка́рточка;визитная карточка;билет;карта;визи́тка;открытка;карточка	tarjeta;Tarjeta de presentación;tarjeta de visita;targeta	adaptateur;Carte de visite;carte de visite	vizitka;navštívenka;tištěný spoj;korespondenční lístek;navštívenka;plošný spoj;lístek;dopisnice;pohlednice;menu;plakát;karta;plošný obvod;vizitka;vstupenka;pohled;průkaz;vizitka;navštívenka;vizitka;navštívenka;vizitka;vizitka;navštívenka	tištěný spoj;plošný spoj;navštívenka;pohlednice;lístek;plán;hrací karta;plošný obvod;karta;vizitka;vstupenka;pohled;štítek;mapa;jízdenka;půdorys;rovina;průkaz;vizitka;navštívenka	vizitka;vizitka;navštívenka	vizitka;navštívenka;vizitka;vizitka;navštívenka;navštívenka;pohlednice;lístek;průkazka;vizitka;karta;vstupenka;lístek s otázkami;legitimace;jízdenka;průkaz;navštívenka;pohlednice;lístek;karetní hra;plán;vizitka;karta;list;pohled;mapa;půdorys;rovina;průkaz;vizitka;korespondenční lístek;navštívenka;pohlednice;lístek;dopisnice;vizitka;karta;pohled;navštívenka;pohlednice;fotka;lístek;kartička;vizitka;karta;list;pomocná kartička;indexní štítek;fotografie	korespondenční lístek;navštívenka;pohlednice;lístek;vizitka;karta;pohled;mapa;vizitka;vizitka;navštívenka;vizitka;navštívenka	adaptér;navštívenka;vizitka;vizitka;vizitka;navštívenka
obláček	wisp	Wisch;Strohbündel		облачко;скоропреходящее	brizna	fétu	vích;obláček;křehký;pramínek;chomáč	obláček;vích;obláček;vích		obláček;obláček;vích	obláček;vích	obláček;vích;stéblo
zápisníček				блокнотик						notýsek;zápisníček		
